State,City,City_Count
TX,Houston,93245
NC,Charlotte,67917
CA,Los Angeles,65857
TX,Austin,58553
TX,Dallas,57823
NC,Raleigh,39623
GA,Atlanta,37576
FL,Miami,31124
OK,Oklahoma City,30787
LA,Baton Rouge,30232
TN,Nashville,27801
FL,Orlando,26134
CA,Sacramento,25657
WA,Seattle,23745
AZ,Phoenix,22948
MN,Minneapolis,22150
TX,San Antonio,21613
CA,San Diego,21045
IN,Indianapolis,18249
NE,Omaha,17881
CA,San Jose,17395
OR,Portland,16472
FL,Jacksonville,16315
MN,Saint Paul,16120
SC,Columbia,15871
CO,Denver,15751
IL,Chicago,15512
VA,Richmond,15470
OK,Tulsa,14695
SC,Greenville,14440
MI,Flint,13533
MI,Detroit,13459
MI,Grand Rapids,11913
OH,Dayton,11893
FL,Tampa,11819
CA,Oakland,11602
NY,Rochester,10863
OH,Columbus,10529
CA,Riverside,10249
KY,Louisville,10108
AZ,Tucson,9939
FL,Fort Lauderdale,9909
CA,Long Beach,9743
NY,Bronx,9689
MO,Saint Louis,9688
UT,Salt Lake City,9520
TX,El Paso,9352
TX,Fort Worth,8746
CA,Anaheim,8480
CA,San Francisco,8314
NY,Brooklyn,7761
CA,Corona,7620
CA,San Bernardino,7498
MO,Kansas City,7476
GA,Augusta,7374
LA,Lafayette,7150
WI,Milwaukee,7128
NY,New York,7127
TN,Memphis,6961
AL,Birmingham,6930
OH,Cincinnati,6615
CA,Whittier,6455
PA,Philadelphia,6451
SC,Spartanburg,6392
CA,Ontario,6211
CA,Hayward,5662
FL,Saint Petersburg,5549
PA,Pittsburgh,5515
FL,Fort Myers,5262
IL,Elgin,5082
PA,Lancaster,5037
PA,York,4953
FL,West Palm Beach,4935
RI,Providence,4920
CA,Baldwin Park,4854
OH,Cleveland,4768
CA,Fremont,4651
CA,Irvine,4625
CO,Colorado Springs,4614
CA,Gardena,4593
FL,Hialeah,4383
CA,Pomona,4315
AZ,Tempe,4291
CA,Tracy,4289
CA,Fresno,4275
State,City,City_Count
WA,Tacoma,4195
SC,Anderson,4192
CA,Sherman Oaks,4066
CA,Bakersfield,4041
NY,Albany,4003
CA,Pasadena,3992
NM,Albuquerque,3956
CA,Livermore,3890
NY,Buffalo,3883
CA,Santa Rosa,3876
CA,Stockton,3760
SC,Myrtle Beach,3734
CA,Diamond Bar,3733
CA,Downey,3723
FL,Sarasota,3710
FL,Hollywood,3692
SC,Lexington,3687
CA,Santa Ana,3663
CA,Cerritos,3653
DC,Washington,3646
LA,Shreveport,3642
CA,Los Gatos,3610
FL,Clearwater,3590
AL,Mobile,3562
VA,Norfolk,3543
MD,Baltimore,3536
AL,Montgomery,3473
FL,Bradenton,3419
GA,Decatur,3401
CA,Orange,3397
CA,Fairfield,3366
CA,Inglewood,3336
CA,San Mateo,3327
SC,Summerville,3325
VA,Henrico,3214
FL,Kissimmee,3184
CA,Fontana,3172
SC,Greer,3146
AZ,Scottsdale,3143
TN,Antioch,3116
CA,Rowland Heights,3089
AL,Huntsville,3081
CA,Norwalk,3062
KY,Lexington,3051
PA,Norristown,3026
TX,Arlington,3011
CA,West Covina,2952
TN,Chattanooga,2929
UT,Ogden,2923
CA,La Puente,2919
CA,San Leandro,2906
MI,Grand Blanc,2880
VA,Alexandria,2868
CA,Compton,2864
CA,Redwood City,2861
NC,Huntersville,2858
CA,Sylmar,2827
AL,Tuscaloosa,2808
AZ,Mesa,2795
CO,Aurora,2787
NJ,Newark,2784
AZ,Chandler,2757
CA,North Hollywood,2751
NV,Reno,2720
CA,Pleasanton,2719
CA,Colton,2713
TX,Irving,2697
MD,Frederick,2675
AZ,Glendale,2645
CA,Newhall,2616
LA,New Orleans,2581
NY,Staten Island,2546
CA,Hacienda Heights,2544
FL,Pensacola,2530
SC,Fort Mill,2523
VA,Fairfax,2521
SC,Florence,2510
NC,Garner,2488
SC,Charleston,2488
CA,Vallejo,2481
SC,West Columbia,2475
CA,Escondido,2470
CA,Concord,2443
WA,Bellevue,2440
State,City,City_Count
CA,Culver City,2436
CA,Castro Valley,2425
CA,Redlands,2417
CA,Berkeley,2406
