State,City,Severity,City_Severity_Count
TX,Houston,2,72403
NC,Charlotte,2,63333
TX,Austin,2,51291
CA,Los Angeles,2,39121
TX,Dallas,2,36268
NC,Raleigh,2,32852
OK,Oklahoma City,2,27051
CA,Los Angeles,3,26186
LA,Baton Rouge,2,25610
GA,Atlanta,3,22493
TX,Dallas,3,21076
FL,Orlando,2,20891
TN,Nashville,2,20201
TX,Houston,3,20043
CA,Sacramento,2,19909
FL,Miami,2,19660
WA,Seattle,2,17060
AZ,Phoenix,2,16329
TX,San Antonio,2,15878
NE,Omaha,2,14751
OK,Tulsa,2,14264
GA,Atlanta,2,13694
IN,Indianapolis,2,13229
OR,Portland,2,13202
CA,San Jose,2,12038
VA,Richmond,2,11877
MN,Minneapolis,2,11579
CA,San Diego,2,11159
SC,Columbia,2,10980
SC,Greenville,2,10922
MI,Flint,2,10622
FL,Jacksonville,3,10593
MN,Minneapolis,3,10506
MI,Grand Rapids,2,10503
FL,Miami,3,9976
OH,Dayton,2,9932
CA,San Diego,3,9624
NY,Rochester,2,9524
AZ,Tucson,2,8922
TX,El Paso,2,8305
CO,Denver,2,8276
MN,Saint Paul,3,8120
MN,Saint Paul,2,7930
IL,Chicago,2,7503
TN,Nashville,3,7403
IL,Chicago,3,7328
CA,Riverside,2,7316
CA,Anaheim,2,7200
MI,Detroit,3,7110
TX,Austin,3,7106
CO,Denver,3,7041
GA,Augusta,2,6957
LA,Lafayette,2,6905
NC,Raleigh,3,6594
KY,Louisville,3,6545
UT,Salt Lake City,2,6522
FL,Tampa,2,6501
MO,Saint Louis,3,6461
CA,Oakland,3,6290
WA,Seattle,3,6072
AZ,Phoenix,3,6023
MI,Detroit,2,5987
TX,Fort Worth,3,5968
NY,Bronx,3,5735
CA,Corona,2,5670
CA,Sacramento,3,5580
TX,San Antonio,3,5578
FL,Fort Lauderdale,3,5491
CA,San Jose,3,5234
CA,Oakland,2,5233
FL,Jacksonville,2,5153
OH,Columbus,2,5134
CA,Long Beach,3,5075
FL,Tampa,3,5064
CA,San Francisco,2,4954
PA,Lancaster,2,4951
NY,New York,2,4879
IL,Elgin,2,4831
OH,Columbus,3,4784
IN,Indianapolis,3,4781
SC,Columbia,3,4751
SC,Spartanburg,2,4687
FL,Orlando,3,4572
CA,Long Beach,2,4512
LA,Baton Rouge,3,4504
FL,Fort Myers,2,4423
NC,Charlotte,3,4416
PA,York,2,4413
TN,Memphis,2,4179
CA,Fresno,2,4155
FL,Fort Lauderdale,2,4090
CA,San Bernardino,2,4087
CA,Whittier,2,3984
WI,Milwaukee,2,3979
NY,Brooklyn,2,3911
SC,Anderson,2,3779
CA,Bakersfield,2,3772
CA,Santa Rosa,2,3758
CO,Colorado Springs,2,3747
NY,Bronx,2,3739
OH,Cincinnati,2,3720
FL,Saint Petersburg,2,3686
AL,Birmingham,3,3654
SC,Myrtle Beach,2,3648
NY,Brooklyn,3,3633
OK,Oklahoma City,3,3617
MO,Kansas City,3,3589
CA,Diamond Bar,2,3562
AZ,Tempe,2,3539
CA,Los Gatos,2,3474
FL,Clearwater,2,3464
SC,Greenville,3,3463
VA,Richmond,3,3455
MO,Kansas City,2,3438
PA,Philadelphia,3,3399
FL,Hialeah,2,3377
KY,Louisville,2,3326
CA,San Bernardino,3,3317
CA,San Francisco,3,3311
CA,Ontario,2,3224
AL,Birmingham,2,3199
CA,Baldwin Park,3,3173
CA,Hayward,2,3158
CA,San Mateo,2,3136
CA,Pomona,2,3105
PA,Pittsburgh,2,3099
NE,Omaha,3,3056
LA,Shreveport,2,3021
PA,Norristown,2,2983
CA,Rowland Heights,2,2983
CA,Ontario,3,2961
WI,Milwaukee,3,2909
FL,West Palm Beach,2,2885
CA,Stockton,2,2872
CA,Riverside,3,2868
MO,Saint Louis,2,2859
SC,Summerville,2,2852
PA,Philadelphia,2,2828
OR,Portland,3,2824
NY,Albany,3,2818
MI,Flint,3,2803
VA,Henrico,2,2802
FL,Sarasota,2,2790
KY,Lexington,2,2764
UT,Salt Lake City,3,2760
AZ,Scottsdale,2,2750
CA,Orange,2,2741
FL,Bradenton,2,2736
TN,Memphis,3,2714
OH,Cleveland,2,2713
SC,Lexington,2,2704
RI,Providence,3,2688
CA,Cerritos,2,2665
CA,Sherman Oaks,2,2653
TX,Fort Worth,2,2650
NC,Huntersville,2,2597
AL,Huntsville,2,2584
SC,Greer,2,2578
CA,North Hollywood,2,2554
FL,Kissimmee,2,2541
OH,Cincinnati,3,2516
GA,Decatur,3,2516
CA,Fremont,3,2493
CA,Compton,2,2489
MI,Grand Blanc,2,2487
CA,Hayward,3,2477
AZ,Mesa,2,2473
CA,Downey,3,2467
AZ,Glendale,2,2454
CA,Santa Ana,2,2447
NM,Albuquerque,2,2436
CA,Irvine,3,2432
NY,Buffalo,3,2428
State,City,Severity,City_Severity_Count
CA,Hacienda Heights,2,2426
CA,Gardena,2,2414
CA,Whittier,3,2408
AL,Tuscaloosa,2,2383
WA,Tacoma,3,2381
DC,Washington,2,2377
AL,Montgomery,2,2372
AZ,Chandler,2,2369
TN,Antioch,2,2367
VA,Norfolk,3,2353
UT,Ogden,2,2325
CA,Salinas,2,2269
CA,La Puente,2,2222
CA,Modesto,2,2214
CA,Redwood City,2,2214
RI,Providence,2,2213
CA,Petaluma,2,2190
CA,Tracy,3,2169
CA,Irvine,2,2165
TX,Irving,2,2150
CA,Gardena,3,2132
PA,Pittsburgh,3,2108
CA,Fremont,2,2101
CA,Concord,2,2100
CA,Tracy,2,2089
SC,Conway,2,2087
IL,Lombard,2,2077
AL,Mobile,2,2063
NY,New York,3,2055
CA,Fairfield,3,2033
CA,Livermore,3,2028
OR,Salem,2,2013
UT,West Valley City,2,2001
NC,Garner,2,2000
CA,Pasadena,3,1982
VA,Alexandria,3,1979
SC,Florence,2,1979
FL,West Palm Beach,3,1975
CA,Pasadena,2,1975
NC,Apex,2,1973
OH,Cleveland,3,1962
CA,Norwalk,3,1929
TX,Manor,2,1918
CO,Aurora,2,1916
CA,Corona,3,1886
SC,Simpsonville,2,1886
FL,Hollywood,3,1873
OR,Eugene,2,1867
CA,Fontana,2,1851
CA,Livermore,2,1834
CA,Mountain View,2,1821
CA,Glendale,2,1820
CA,Garden Grove,2,1814
OH,Dayton,3,1810
CA,Pittsburg,2,1809
FL,Pensacola,2,1806
MD,Baltimore,3,1804
DE,Wilmington,2,1795
CA,West Covina,3,1794
IL,Wheaton,2,1788
CA,Inglewood,3,1782
CA,Newhall,2,1779
FL,Saint Petersburg,3,1770
VA,Sterling,2,1762
CA,Napa,2,1759
FL,Spring Hill,2,1756
WA,Spokane,2,1740
SC,Fort Mill,2,1722
CA,Moreno Valley,2,1713
NJ,Newark,2,1703
CA,Sylmar,3,1690
TN,Johnson City,2,1688
CA,Palo Alto,2,1678
NC,Greensboro,2,1671
MI,Burton,2,1668
OR,Bend,2,1665
WA,Tacoma,2,1659
CA,Sunnyvale,2,1653
SC,Spartanburg,3,1637
CA,Baldwin Park,2,1635
NV,Las Vegas,2,1627
NY,Staten Island,2,1613
CA,Pleasanton,3,1610
FL,Hollywood,2,1608
CA,Colton,3,1602
CA,Berkeley,3,1598
MI,Davison,2,1597
MD,Baltimore,2,1592
LA,New Orleans,3,1590
VA,Fairfax,3,1589
FL,Tallahassee,2,1582
CA,Chino,2,1581
PA,Pottstown,2,1579
TX,Pflugerville,2,1579
SC,Aiken,2,1566
IL,Elmhurst,2,1563
CA,Castro Valley,2,1553
SC,Orangeburg,2,1551
CA,Santa Barbara,2,1548
CA,Inglewood,2,1531
CA,San Rafael,2,1523
TX,Arlington,2,1523
CA,Palmdale,2,1521
IL,Downers Grove,2,1521
FL,Brooksville,2,1514
SC,Taylors,2,1499
CA,San Leandro,3,1498
TN,Chattanooga,2,1493
SC,Piedmont,2,1493
NV,Reno,3,1491
TX,Mesquite,3,1490
SC,West Columbia,2,1487
NC,Morrisville,2,1486
CA,Ventura,2,1486
CA,Culver City,3,1484
FL,Miami,4,1484
AL,Mobile,3,1474
NE,Bellevue,2,1467
FL,Lehigh Acres,2,1466
SC,Greenwood,2,1464
NM,Albuquerque,3,1462
VA,Springfield,3,1460
TX,Arlington,3,1454
WA,Bellevue,3,1450
GA,Marietta,3,1444
CA,Richmond,3,1439
CA,Fullerton,2,1436
MD,Frederick,2,1436
FL,Palm Harbor,2,1433
CA,Encino,2,1430
CA,Torrance,2,1426
MA,Boston,2,1416
SC,Charleston,3,1414
TX,Del Valle,2,1414
CT,Hartford,3,1414
CA,Rancho Cucamonga,2,1403
NY,Syracuse,2,1392
NC,Cary,2,1390
NY,Yonkers,2,1385
VA,Arlington,3,1382
CA,San Leandro,2,1381
GA,Atlanta,4,1376
CA,Sherman Oaks,3,1374
TN,Chattanooga,3,1372
PA,Lansdale,2,1367
MO,Springfield,2,1362
CA,Santa Clara,2,1356
NY,Buffalo,2,1353
OK,Edmond,2,1348
IL,Villa Park,2,1346
CA,Tustin,2,1339
SC,Easley,2,1336
SC,North Charleston,3,1333
TN,Madison,2,1330
CA,Vallejo,2,1319
CA,Lynwood,3,1318
CA,Fairfield,2,1316
CA,Costa Mesa,2,1313
CA,Elk Grove,2,1310
CA,Escondido,2,1306
CA,Santa Fe Springs,3,1300
TN,Knoxville,3,1299
CA,Fontana,3,1296
WA,Renton,3,1286
NY,Rochester,3,1286
IL,Oak Brook,2,1280
CA,Woodland Hills,2,1277
SC,Sumter,2,1268
IL,Hanover Park,2,1267
CA,San Marcos,2,1255
CA,Buena Park,2,1253
FL,Largo,2,1252
State,City,Severity,City_Severity_Count
MI,Grand Rapids,3,1251
IL,Waukegan,2,1250
SC,Boiling Springs,2,1248
CA,Glendora,3,1245
CA,Hawthorne,3,1241
OK,Yukon,2,1240
CA,Martinez,2,1230
PA,Ambler,2,1228
FL,New Port Richey,2,1225
CA,Downey,2,1223
CA,Acton,2,1221
IL,Bartlett,2,1218
FL,Boca Raton,3,1216
CA,Burbank,2,1215
CA,Anaheim,3,1210
IL,West Chicago,2,1210
CA,Walnut Creek,2,1204
CA,Redlands,3,1203
