State,Severity,State_Severity_Count
CA,2,445381
State,Severity,State_Severity_Count
TX,2,215027
State,Severity,State_Severity_Count
CA,3,211189
State,Severity,State_Severity_Count
FL,2,144622
State,Severity,State_Severity_Count
NC,2,121261
State,Severity,State_Severity_Count
SC,2,114339
State,Severity,State_Severity_Count
NY,2,82388
State,Severity,State_Severity_Count
TX,3,79467
State,Severity,State_Severity_Count
FL,3,71631
State,Severity,State_Severity_Count
PA,2,67778
State,Severity,State_Severity_Count
OR,2,61538
State,Severity,State_Severity_Count
IL,2,58901
State,Severity,State_Severity_Count
MI,2,52583
State,Severity,State_Severity_Count
NY,3,49968
State,Severity,State_Severity_Count
AZ,2,47248
State,Severity,State_Severity_Count
OK,2,46194
State,Severity,State_Severity_Count
VA,2,42556
State,Severity,State_Severity_Count
GA,3,42393
State,Severity,State_Severity_Count
LA,2,41674
State,Severity,State_Severity_Count
TN,2,38526
State,Severity,State_Severity_Count
WA,2,37528
State,Severity,State_Severity_Count
MN,2,37017
State,Severity,State_Severity_Count
GA,2,34605
State,Severity,State_Severity_Count
OH,2,33817
State,Severity,State_Severity_Count
NJ,2,33264
State,Severity,State_Severity_Count
VA,3,32750
State,Severity,State_Severity_Count
SC,3,31366
State,Severity,State_Severity_Count
MI,3,31361
State,Severity,State_Severity_Count
UT,2,29890
State,Severity,State_Severity_Count
MN,3,25348
State,Severity,State_Severity_Count
IL,3,24706
State,Severity,State_Severity_Count
AL,2,23906
State,Severity,State_Severity_Count
CO,2,21235
State,Severity,State_Severity_Count
WA,3,21129
State,Severity,State_Severity_Count
MD,2,20285
State,Severity,State_Severity_Count
MA,2,19907
State,Severity,State_Severity_Count
NE,2,18868
State,Severity,State_Severity_Count
NC,3,18837
State,Severity,State_Severity_Count
IN,2,18705
State,Severity,State_Severity_Count
MD,3,18341
State,Severity,State_Severity_Count
TN,3,18275
State,Severity,State_Severity_Count
PA,3,17862
State,Severity,State_Severity_Count
OH,3,17057
State,Severity,State_Severity_Count
CO,3,15699
State,Severity,State_Severity_Count
MO,3,15090
State,Severity,State_Severity_Count
NJ,3,13904
State,Severity,State_Severity_Count
MA,3,12839
State,Severity,State_Severity_Count
MO,2,12476
State,Severity,State_Severity_Count
AZ,3,12003
State,Severity,State_Severity_Count
AL,3,11931
State,Severity,State_Severity_Count
CT,2,10650
State,Severity,State_Severity_Count
CT,3,10455
State,Severity,State_Severity_Count
UT,3,10301
State,Severity,State_Severity_Count
LA,3,9887
State,Severity,State_Severity_Count
KY,2,9428
State,Severity,State_Severity_Count
WI,2,8937
State,Severity,State_Severity_Count
KY,3,8927
State,Severity,State_Severity_Count
IN,3,8826
State,Severity,State_Severity_Count
FL,4,7422
State,Severity,State_Severity_Count
OR,3,6921
State,Severity,State_Severity_Count
GA,4,6595
State,Severity,State_Severity_Count
CA,4,6388
State,Severity,State_Severity_Count
WI,3,6182
State,Severity,State_Severity_Count
NV,2,6050
State,Severity,State_Severity_Count
NH,2,5664
State,Severity,State_Severity_Count
NY,4,5421
State,Severity,State_Severity_Count
RI,3,5418
