,City,Accidents_count
0,Houston,93289
1,Charlotte,68054
2,Los Angeles,65857
3,Austin,58703
4,Dallas,58036
5,Raleigh,39628
6,Atlanta,37591
7,Miami,31187
8,Oklahoma City,30787
9,Baton Rouge,30232
10,Nashville,27855
11,Orlando,26138
12,Sacramento,25657
13,Seattle,23745
14,Phoenix,23044
15,Minneapolis,22150
16,San Antonio,21880
17,San Diego,21045
18,Richmond,18842
19,Indianapolis,18249
20,Omaha,17888
21,San Jose,17397
22,Columbia,16943
23,Portland,16754
24,Jacksonville,16533
25,Saint Paul,16181
26,Denver,16097
27,Chicago,15512
28,Greenville,14899
29,Tulsa,14695
30,Detroit,13576
31,Flint,13533
32,Dayton,12337
33,Oakland,12121
34,Grand Rapids,11981
35,Tampa,11819
36,Columbus,11605
37,Rochester,11408
38,Riverside,10580
39,Louisville,10300
40,Tucson,9939
41,Fort Lauderdale,9909
42,Long Beach,9801
43,Bronx,9689
44,Saint Louis,9688
45,Salt Lake City,9520
46,Kansas City,9454
47,El Paso,9361
48,Fort Worth,8746
49,Corona,8622
50,Anaheim,8480
51,San Francisco,8314
52,Lafayette,8290
53,Brooklyn,8107
54,Lexington,7700
55,San Bernardino,7498
56,Augusta,7476
57,Lancaster,7473
58,Milwaukee,7128
59,New York,7127
60,Memphis,7056
61,Birmingham,6933
62,Cincinnati,6616
63,Ontario,6609
64,Philadelphia,6472
65,Whittier,6459
66,Spartanburg,6392
67,Arlington,6367
68,Elgin,5875
69,Hayward,5690
70,Saint Petersburg,5549
71,Pittsburgh,5515
72,York,5430
73,Springfield,5275
74,Fort Myers,5262
75,Albany,5161
76,Cleveland,5105
77,Glendale,5097
78,West Palm Beach,4935
79,Providence,4923
80,Baldwin Park,4854
81,Pasadena,4825
82,Fremont,4755
83,Newark,4712
84,Irvine,4626
85,Colorado Springs,4614
86,Antioch,4613
87,Gardena,4593
88,Washington,4576
89,Anderson,4540
90,Pomona,4447
91,Hialeah,4383
92,Fairfield,4307
93,Tracy,4299
94,Tempe,4291
95,Fresno,4287
96,Tacoma,4195
97,Madison,4174
98,Sherman Oaks,4066
99,Bakersfield,4041
100,Buffalo,4034
101,Decatur,4010
102,Bellevue,3990
103,Albuquerque,3956
104,Santa Rosa,3908
105,Livermore,3905
106,Stockton,3867
107,Orange,3796
108,Norwalk,3783
109,Myrtle Beach,3734
110,Downey,3734
111,Diamond Bar,3733
112,Clearwater,3717
113,Hollywood,3713
114,Sarasota,3710
115,Santa Ana,3663
116,Montgomery,3657
117,Cerritos,3653
118,Shreveport,3642
119,Los Gatos,3610
120,Baltimore,3570
121,Mobile,3562
122,Aurora,3560
123,Norfolk,3560
124,Bradenton,3419
125,Summerville,3382
126,Inglewood,3336
127,San Mateo,3330
128,Concord,3328
129,Florence,3257
130,Henrico,3214
131,Huntsville,3195
132,Kissimmee,3184
133,Fontana,3175
134,Greer,3146
135,Scottsdale,3143
136,Salem,3136
137,Wilmington,3127
138,Rowland Heights,3089
139,Alexandria,3049
140,Norristown,3026
141,West Covina,2952
142,Ogden,2938
143,Charleston,2930
144,Chattanooga,2929
145,La Puente,2919
146,San Leandro,2906
147,Grand Blanc,2880
148,Compton,2864
149,Redwood City,2861
150,Huntersville,2858
151,Elmhurst,2851
152,Sylmar,2827
